1,-0.76471,-0.27579,0.01777,-0.7368,0.61774,1,9.13
9,-0.64707,-1,-0.76801,-0.66591,0.27221,-0.33037,7.75
11,-0.64707,0.44842,-0.30964,-0.58953,-0.089037,-0.78374,10.75
12,-0.88236,0.81052,-0.30964,-0.7934,0.45325,-0.73605,16.58
11,-0.88236,-0.45684,0.60711,-0.85425,-0.089037,-0.78374,5.83
3,0.17643,0.62947,-0.96446,0.19428,-0.22254,0.43515,7.46
3,0.88229,-0.09474,0.34518,0.83021,-0.22254,0.43515,2.21
12,-0.88236,0.99157,-0.4406,-0.78488,0.45325,-0.73605,10.75
9,-1,0.44842,0.54163,-0.91906,0.27221,-0.33037,3.96
1,-1,-0.27579,-0.24416,-0.96014,0.61774,1,15.12
4,0.17643,-1,1,0.12034,0.2565,0.40542,10.58
10,0.17643,0.44842,0.47614,0.19185,-0.44243,-0.34524,4.58
9,0.76464,-0.6379,0.54163,0.69207,0.27221,-0.33037,6.46
10,-0.52943,0.81052,-0.37512,-0.46022,-0.44243,-0.34524,6.54
9,-0.29414,0.81052,-0.76801,-0.23992,0.27221,-0.33037,4.79
8,-0.52943,0.99157,-0.76801,-0.45291,-1,-0.30065,12.33
4,-0.64707,-0.27579,0.60711,-0.6227,0.2565,0.40542,8.42
11,-1,0.44842,-0.63705,-0.92454,-0.089037,-0.78374,14.09
10,-0.1765,0.62947,0.34518,-0.13282,-0.44243,-0.34524,2.79
4,-0.1765,0.62947,-0.4406,-0.13647,0.2565,0.40542,12.5
8,0.76464,0.086312,0.54163,0.7292,-1,-0.30065,11.71
9,-0.29414,-0.6379,-0.17868,-0.31173,0.27221,-0.33037,10.67
5,0.52936,0.44842,-0.50609,0.52077,0.68057,0.10813,16.58
6,0.41171,-0.45684,-0.96446,0.36102,0.075879,-0.055381,10.04
6,0.99993,-1,-0.11319,0.8932,0.075879,-0.055381,0.71
3,-0.88236,-1,0.01777,-0.88438,-0.22254,0.43515,16.71
12,0.52936,-0.6379,0.80355,0.47087,0.45325,-0.73605,16.83
